xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E1->E2,E2->E1,N0,12,ridge,302,735,0.8127461969517764,1.2155707960428177,-0.8732080911834933,2.172754888914078e-108,1.9120243022443885e-106,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,12,rf,302,735,1.0014180607656344,1.0806185705313298,-0.23896923007613646,1.425151657995387e-09,3.990424642387084e-08,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,12,xgb,302,735,1.0020197685686678,1.000972506257871,-0.02203000405460198,0.576931543886757,1.0,False,không khác,False
E1->E2,E2->E1,N0,12,svr,302,735,1.0215992313717068,1.020817653796063,-0.06218858404288863,0.11524996500154466,0.8067497550108127,False,không khác,False
E1->E2,E2->E1,N1,1,lr,302,735,0.9507695911625103,1.041937794594863,-0.662296706762175,3.7277800169553843e-63,1.9757234089863538e-61,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,1,ridge,302,735,0.9508097910954024,1.0419113545566023,-0.662567013560391,3.321896600162901e-63,1.7938241640879666e-61,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,1,rf,302,735,1.0272984067294653,1.0527036680436739,-0.19468396630175244,8.183720365899315e-07,1.718581276838856e-05,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,1,xgb,302,735,1.0446286721518843,1.0420689801228251,0.0032617020318062018,0.9342492454736637,1.0,False,không khác,True
E1->E2,E2->E1,N1,1,svr,302,735,1.0046515906940616,0.9989086497616158,-0.0009550840203631505,0.9807914152210179,1.0,False,không khác,False
E1->E2,E2->E1,N1,6,lr,302,735,0.965483046361713,1.0345913006795313,-0.5053025183583367,1.6730036039866349e-37,7.528516217939857e-36,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,6,ridge,302,735,0.9654830820419522,1.0345913192245473,-0.5053025183583367,1.6730036039866349e-37,7.528516217939857e-36,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,6,rf,302,735,1.0099892408918132,1.0742252498133416,-0.37846555840879403,9.17061678355712e-22,3.484834377751706e-20,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,6,xgb,302,735,1.0113312593328025,1.0764090716483496,-0.35935486777492454,8.8848800634487e-20,3.198556822841532e-18,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,6,svr,302,735,1.0150880136473133,1.0317813358793875,-0.17473532459341357,9.614532296614233e-06,0.00013460345215259926,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,12,lr,302,735,0.968606616832461,1.0194117967030267,-0.35244402396720276,4.38681369895933e-19,1.5353847946357653e-17,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,12,ridge,302,735,0.9686066097208862,1.0194117822694864,-0.35244402396720276,4.38681369895933e-19,1.5353847946357653e-17,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,12,rf,302,735,1.0105100063188712,1.058255690874639,-0.3068793080145966,7.68477566826988e-15,2.305432700480964e-13,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,12,xgb,302,735,1.0022782221075264,1.0610356932906442,-0.34254178492589094,4.101198480950577e-18,1.3123835139041846e-16,True,ngược tốn hơn,True
E1->E2,E2->E1,N1,12,svr,302,735,1.0214028080414268,1.013952111041863,0.029634635311078128,0.4529619938759709,1.0,False,không khác,True
E1->E2,E2->E1,N2,1,lr,302,735,1.0818684775093448,0.9517448301663436,0.9181961526332387,1.2255478501320949e-119,1.1520149791241692e-117,True,xuôi tốn hơn,True
E1->E2,E2->E1,N2,1,ridge,302,735,1.081633089409175,0.9518938638206627,0.9165022300310852,3.32718171589067e-119,3.094278995778323e-117,True,xuôi tốn hơn,True
E1->E2,E2->E1,N2,1,rf,302,735,0.9971256792290759,1.0151016680324543,-0.1778979141325404,6.613289604764872e-06,9.919934407147308e-05,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,1,xgb,302,735,1.0154078594130365,1.0096049403066247,0.016912195341712843,0.6684719701174195,1.0,False,không khác,True
E1->E2,E2->E1,N2,1,svr,302,735,1.0328430871708263,0.9697433440196461,0.6191647519935126,1.9960828209016785e-55,1.0379630668688728e-53,True,xuôi tốn hơn,True
E1->E2,E2->E1,N2,6,lr,302,735,1.0169180448491293,1.0152262292444303,-0.2014506464837591,3.355069856550282e-07,7.716660670065648e-06,True,ngược tốn hơn,False
E1->E2,E2->E1,N2,6,ridge,302,735,1.016918062961568,1.0152260829991264,-0.2014506464837591,3.355069856550282e-07,7.716660670065648e-06,True,ngược tốn hơn,False
E1->E2,E2->E1,N2,6,rf,302,735,0.959693676434777,1.0452811113473828,-0.7905933234220841,3.374745515441691e-89,2.29482695050035e-87,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,6,xgb,302,735,0.9838425496914688,1.0364343684866084,-0.5940442402126414,3.660677879808375e-51,1.8669457187022713e-49,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,6,svr,302,735,0.9880607673508729,1.0311711703027575,-0.7166644141100149,1.2402424714109915e-73,7.317430581324849e-72,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,12,lr,302,735,0.9878426562518916,1.0256193375190208,-0.8049376041807451,2.1488196822525826e-92,1.561365588738953e-90,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,12,ridge,302,735,0.987842661495528,1.0256193421366888,-0.8049466144073524,2.1388569708752782e-92,1.561365588738953e-90,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,12,rf,302,735,0.9966250793326541,1.009689838769004,-0.4454926341397486,1.5825288761009584e-29,6.48836839201393e-28,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,12,xgb,302,735,0.9919188953927611,1.0114685545236608,-0.4141190250934811,9.716206099781791e-26,3.886482439912716e-24,True,ngược tốn hơn,True
E1->E2,E2->E1,N2,12,svr,302,735,0.9771257473686072,1.0108735070061043,-0.745533180159481,1.5706701008563262e-79,9.895221635394854e-78,True,ngược tốn hơn,True
