nguon,dich,mode,h,model,n_chuoi,mae_p50,mae_p50_naive,ti_so_p50,hieu_p50,n_tot_hon_naive,p,p_holm,co_y_nghia,ket_luan
E2,E3,N0,1,ridge,497,4.368926299529394,4.295534398772086,1.017085627524782,0.04163575520627205,136,6.27972618650287e-34,5.023780949202296e-33,True,tệ hơn naive
E2,E3,N0,1,svr,497,4.442341484677047,4.295534398772086,1.0341766756534243,0.12948926786392523,126,6.226393610614408e-38,6.2263936106144075e-37,True,tệ hơn naive
E2,E3,N0,1,xgb,497,4.522794827671041,4.295534398772086,1.0529062062601382,0.16255834145260106,112,2.3450746760840715e-45,2.8140896113008856e-44,True,tệ hơn naive
E2,E3,N0,6,lr,497,5.863602842620924,6.508720663903487,0.9008840823573361,-0.6464808458733078,343,4.693498803629943e-14,2.8160992821779656e-13,True,tốt hơn naive
E2,E3,N0,6,rf,497,5.890036028664047,6.508720663903487,0.9049452776994128,-0.5849571910207798,349,8.543767222184071e-13,2.5631301666552213e-12,True,tốt hơn naive
E2,E3,N0,6,ridge,497,5.863603060258954,6.508720663903487,0.9008841157952482,-0.64648093813486,343,4.693498803629943e-14,2.8160992821779656e-13,True,tốt hơn naive
E2,E3,N0,6,svr,497,6.093271115907268,6.508720663903487,0.9361703214119715,-0.39808510358834326,356,2.3494964472175486e-22,2.3494964472175486e-21,True,tốt hơn naive
E2,E3,N0,6,xgb,497,6.012459323243364,6.508720663903487,0.9237543956353322,-0.49038011071775234,355,6.943652344994909e-24,7.6380175794944e-23,True,tốt hơn naive
E2,E3,N0,12,lr,497,6.590042124316434,7.027038242901766,0.9378121900749927,-0.33244091824628796,337,0.2368108946676455,0.947243578670582,False,không khác
E2,E3,N0,12,rf,497,6.640651115316835,7.027038242901766,0.9450142272990711,-0.26260773387389946,307,0.4002574483596022,0.947243578670582,False,không khác
E2,E3,N0,12,ridge,497,6.590042025388958,7.027038242901766,0.9378121759968744,-0.33244110051099973,337,0.2368108946676455,0.947243578670582,False,không khác
E2,E3,N0,12,svr,497,6.656156358706236,7.027038242901766,0.9472207391826606,-0.34900684929853387,367,4.617086150781627e-22,4.617086150781627e-21,True,tốt hơn naive
E2,E3,N0,12,xgb,497,6.842108278154385,7.027038242901766,0.9736830854828228,-0.10876302176057795,277,0.32550794809672967,0.947243578670582,False,không khác
E2,E3,N1,1,lr,497,4.313039851385895,4.295534398772086,1.0040752677056464,-0.051491680830765496,282,0.1370824288453018,0.2741648576906036,False,không khác
E2,E3,N1,1,rf,497,4.3594425166809225,4.295534398772086,1.014877803778525,0.05060270585010418,196,3.821944279662816e-11,1.5287777118651264e-10,True,tệ hơn naive
E2,E3,N1,1,ridge,497,4.3130398285169,4.295534398772086,1.0040752623817464,-0.05149167186794479,282,0.1370824288453018,0.2741648576906036,False,không khác
E2,E3,N1,1,svr,497,4.474575172258153,4.295534398772086,1.041680675060418,0.08493774569704371,152,4.4944097390932515e-28,2.6966458434559507e-27,True,tệ hơn naive
E2,E3,N1,1,xgb,497,4.359151688104549,4.295534398772086,1.0148100989135713,0.03583346350222261,210,6.197655615723714e-09,1.859296684717114e-08,True,tệ hơn naive
E2,E3,N1,6,lr,497,5.728512235814833,6.508720663903487,0.8801287582649555,-0.7166374143695604,352,1.236843452626286e-14,9.894747621010288e-14,True,tốt hơn naive
E2,E3,N1,6,rf,497,5.914081422437678,6.508720663903487,0.908639612579535,-0.5862343388777678,352,5.0758472877487805e-17,4.568262558973903e-16,True,tốt hơn naive
E2,E3,N1,6,ridge,497,5.728512209216124,6.508720663903487,0.8801287541783291,-0.716637458137642,352,1.236843452626286e-14,9.894747621010288e-14,True,tốt hơn naive
E2,E3,N1,6,svr,497,6.112483724517253,6.508720663903487,0.9391221470628304,-0.3717530714195032,342,2.9560441615454964e-09,5.912088323090993e-09,True,tốt hơn naive
E2,E3,N1,6,xgb,497,5.910546423733187,6.508720663903487,0.9080964952932001,-0.6040272553802906,351,4.491544405292925e-13,1.79661776211717e-12,True,tốt hơn naive
E2,E3,N1,12,lr,497,6.532834003893745,7.027038242901766,0.9296710474704998,-0.38096063524675916,323,0.01218892537017843,0.085322477591249,False,không khác
E2,E3,N1,12,rf,497,6.585130124941583,7.027038242901766,0.937113175895041,-0.35361619307986825,328,0.002212503629731855,0.01770002903785484,True,tốt hơn naive
E2,E3,N1,12,ridge,497,6.532833950923251,7.027038242901766,0.9296710399324031,-0.38096069428036117,323,0.01218892537017843,0.085322477591249,False,không khác
E2,E3,N1,12,svr,497,6.569864476022909,7.027038242901766,0.9349407600932493,-0.3971266780256233,338,5.3270251630471896e-11,4.794322646742471e-10,True,tốt hơn naive
E2,E3,N1,12,xgb,497,6.673953703042606,7.027038242901766,0.9497534341419271,-0.2542357488981102,317,0.03454979661287457,0.17274898306437286,False,không khác
E2,E3,N2,1,lr,497,4.387144064802588,4.295534398772086,1.0213267215498703,0.08614516576606768,42,2.7185322236076683e-75,4.0777983354115024e-74,True,tệ hơn naive
E2,E3,N2,1,rf,497,4.219495606743277,4.295534398772086,0.9822981764386416,-0.08049724625641819,372,4.860193993797414e-36,4.374174594417673e-35,True,tốt hơn naive
E2,E3,N2,1,ridge,497,4.387144055213674,4.295534398772086,1.021326719317572,0.08614517946052125,42,2.7185322236076683e-75,4.0777983354115024e-74,True,tệ hơn naive
E2,E3,N2,1,svr,497,4.131227335745896,4.295534398772086,0.9617493313350817,-0.14437596469729508,449,4.2619967752732735e-72,5.5405958078552554e-71,True,tốt hơn naive
E2,E3,N2,1,xgb,497,4.1484675513120415,4.295534398772086,0.9657628518812269,-0.12226477521273349,391,1.9228382918991597e-44,2.115122121089076e-43,True,tốt hơn naive
E2,E3,N2,6,lr,497,6.405166204001668,6.508720663903487,0.9840898902796492,-0.08190374306766568,438,1.2133818887399946e-72,1.8200728331099918e-71,True,tốt hơn naive
E2,E3,N2,6,rf,497,6.539009054540018,6.508720663903487,1.0046535090689184,0.043062664724290656,108,6.898953687992436e-45,8.968639794390167e-44,True,tệ hơn naive
E2,E3,N2,6,ridge,497,6.405166127172016,6.508720663903487,0.9840898784755396,-0.08190369045510071,438,1.2133818887399946e-72,1.8200728331099918e-71,True,tốt hơn naive
E2,E3,N2,6,svr,497,6.5062348270695365,6.508720663903487,0.9996180759687942,-0.0024363499930935006,255,0.27230440636592,0.27230440636592,False,không khác
E2,E3,N2,6,xgb,497,6.547727101269082,6.508720663903487,1.005992949978929,0.05255833659908227,100,1.0077603091581506e-44,1.2093123709897809e-43,True,tệ hơn naive
E2,E3,N2,12,lr,497,7.150604501471056,7.027038242901766,1.0175844010375363,0.11084511228039506,9,6.689709385066134e-83,9.365593139092589e-82,True,tệ hơn naive
E2,E3,N2,12,rf,497,7.173387399411769,7.027038242901766,1.020826577492706,0.12708587348446532,11,1.3713130030831172e-82,1.508444303391429e-81,True,tệ hơn naive
E2,E3,N2,12,ridge,497,7.150604496682496,7.027038242901766,1.0175844003560885,0.11084509231601825,9,6.689709385066134e-83,9.365593139092589e-82,True,tệ hơn naive
E2,E3,N2,12,svr,497,7.158842459379337,7.027038242901766,1.018756723945641,0.13237932327868673,8,9.666649167438734e-83,1.159997900092648e-81,True,tệ hơn naive
E2,E3,N2,12,xgb,497,7.231713876456706,7.027038242901766,1.0291268705932672,0.19653500667571233,4,5.128550188700615e-83,7.692825283050922e-82,True,tệ hơn naive
E3,E1,N0,1,lr,735,1.236473721201912,0.4077071290944123,3.0327498171256724,0.98175092999165,18,5.311722068568655e-119,5.589195134844186e-118,True,tệ hơn naive
E3,E1,N0,1,rf,735,1.3493651982189143,0.4077071290944123,3.3096433737032918,0.778894083808872,23,6.485226106220503e-117,5.836703495598453e-116,True,tệ hơn naive
E3,E1,N0,1,ridge,735,1.2396796553244134,0.4077071290944123,3.040613143257895,0.9842185054037929,18,5.081086486221987e-119,5.589195134844186e-118,True,tệ hơn naive
