xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,ti_so_p50_xuoi,ti_so_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan
E2->E3,E3->E2,N1,1,rf,497,302,1.0125025072989342,1.2806798288763197,-0.26392793849187846,3.8152752563366715e-10,1.6787211127881356e-08,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,1,xgb,497,302,1.011170193342093,13.29061486052625,-0.9029141737844284,8.506710754306092e-102,6.890435710987935e-100,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,1,svr,497,302,1.0228166659988915,1.3615702380204862,-0.3417724892400762,5.136342746126283e-16,2.3627176632180902e-14,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,6,lr,497,302,0.8844529540193032,5.5061966894321,-0.9988007515290418,3.974010008289607e-124,3.974010008289607e-122,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,6,ridge,497,302,0.8844529456815148,5.497263682807382,-0.9987741015630205,4.0341029602399505e-124,3.993761930637551e-122,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,6,rf,497,302,0.9087345686153222,1.6442568907195514,-0.7586978826601996,1.963039017580848e-72,1.2563449712517427e-70,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,6,xgb,497,302,0.9055193217918635,20.567818569108752,-0.935213932602236,4.551632609078243e-109,4.096469348170419e-107,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,6,svr,497,302,0.9410372030648068,1.5991507667177167,-0.6844777272908977,2.683694722171435e-59,1.5833798860811466e-57,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,12,lr,497,302,0.9435622297796397,10.410095571037354,-0.9994936506455955,2.689673482070674e-124,2.7434669517120876e-122,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,12,ridge,497,302,0.9435622216621502,10.406951107963515,-0.9994936506455955,2.689673482070674e-124,2.7434669517120876e-122,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,12,rf,497,302,0.9473455772721227,4.22457138658103,-0.8895358908417392,7.36314263617388e-99,5.448725550768671e-97,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,12,xgb,497,302,0.9610299592907733,52.87845543333685,-0.9785734273188802,3.137300643563313e-119,3.0745546306920465e-117,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,12,svr,497,302,0.9417175589060651,1.2489195312441392,-0.4901195250976055,2.980585007895538e-31,1.4604866538688136e-29,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,1,lr,497,302,1.0216731672714965,1.9634821055507374,-0.878076405452583,2.2303226151245497e-96,1.6067829989028693e-94,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,1,ridge,497,302,1.021673170560676,1.9631543499639874,-0.8781030554186043,2.2010726012368074e-96,1.6067829989028693e-94,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,1,rf,497,302,0.9808994797402311,1.0700623584285966,-0.7171106106839713,6.584690987272976e-65,3.950814592363786e-63,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,1,xgb,497,302,0.9709653068529486,1.5875360763646307,-0.9329620104734366,1.4907063574466393e-108,1.326728658127509e-106,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,1,svr,497,302,0.9652495853823284,1.1570492526081115,-0.9022345996508855,1.2023188886679214e-101,9.61855110934337e-100,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,6,lr,497,302,0.9874781073618809,1.1877363722550367,-0.9678068410462777,1.1550245200743383e-116,1.0972732940706215e-114,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,6,ridge,497,302,0.9874781185688875,1.1875054575469979,-0.9677801910802564,1.1719462280284167e-116,1.1016294543467118e-114,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,6,rf,497,302,1.0072897550298876,1.1227161665680498,-0.864351672951617,1.8967635835897998e-93,1.3467021443487578e-91,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,6,xgb,497,302,1.0088239382472186,1.2896083086903944,-0.9190374032273109,2.146720571348474e-105,1.8461796913596877e-103,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,6,svr,497,302,0.9996299701614103,1.1116955835804885,-0.8586485802230602,3.0329832065988128e-92,2.123088244619169e-90,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,12,lr,497,302,1.0155543442062749,1.2332641654548477,-0.7590843071675084,1.6635108206161402e-72,1.0979171416066526e-70,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,12,ridge,497,302,1.0155543425506748,1.233255443595832,-0.758871107439338,1.8226400850552375e-72,1.1847160552859044e-70,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,12,rf,497,302,1.0176201151229975,1.0710715310180428,-0.5028182339067517,8.361204757260197e-33,4.180602378630098e-31,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,12,xgb,497,302,1.027527930979651,1.275473646518974,-0.6802537076765227,1.3676063273804303e-58,7.795356066068452e-57,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N2,12,svr,497,302,1.0190487657491603,1.1219057626906583,-0.5308939731101843,2.2483820256268275e-36,1.146674833069682e-34,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,1,lr,302,730,1.2630381231446997,1.3479004312305531,-0.20867277510659532,1.292027728662227e-07,5.02629777485434e-06,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,1,ridge,302,730,1.2627770627492874,1.3479005368165704,-0.20869091898757142,1.2887943012447024e-07,5.02629777485434e-06,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,1,rf,302,730,1.025600095682511,1.0989088154247628,-0.2157398167468021,4.793850917731288e-08,1.9175403670925153e-06,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,1,xgb,302,730,1.037452458677624,1.1525663131220876,-0.2503039100063503,2.3985726863428844e-10,1.079357708854298e-08,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,1,svr,302,730,0.9558037534516575,1.0393023363274314,-0.1423750340197768,0.00031525810273209606,0.0069356782601061135,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,6,lr,302,730,1.5713623395466119,1.9846584831747915,-0.22893041821645654,6.9323069586376994e-09,2.980891992214211e-07,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,6,ridge,302,730,1.5713623263996581,1.9846583241938962,-0.22893041821645654,6.9323069586376994e-09,2.980891992214211e-07,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,6,rf,302,730,1.0782973323634928,1.2145133111345805,-0.18793431915086634,1.982264908940771e-06,6.541474199504544e-05,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,6,xgb,302,730,1.1041633794061578,1.2263583153096334,-0.19226163476367597,1.1461957545383788e-06,4.1263047163381634e-05,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,6,svr,302,730,0.9007491950991601,0.9731189799215139,-0.14544134990474467,0.00023321921783472612,0.005364042010198701,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,12,lr,302,730,2.116739191148295,2.5020762250150774,-0.16204300099791347,4.1298783339115426e-05,0.0011976647168343473,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,12,ridge,302,730,2.116739215099373,2.502076131543123,-0.16204300099791347,4.1298783339115426e-05,0.0011976647168343473,True,chiều xuôi dễ hơn
E1->E2,E2->E1,N0,12,rf,302,730,1.2242451817837354,1.4421250524545441,-0.1695364238410596,1.7891586090317373e-05,0.0005367475827095212,True,chiều xuôi dễ hơn
