env,h,model,split,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_dung,n_dong_test
E1,12,naive,test,mase,0.7980182576452111,1.3996912177458785,2.695994217063193,1.897975959417982,735,0,246225,246225
E1,12,naive,test,r2,-0.8623637726485143,-0.36435088991195275,0.20255600911904084,1.064919781767555,730,5,246225,246225
E1,12,naive,train,mae,0.10822672991137458,0.4065612158569011,5.5665359281158775,5.458309198204503,735,0,1134191,1134191
E1,12,naive,train,rmse,0.3658343572323268,1.2311766896048648,15.606716378071795,15.240882020839468,735,0,1134191,1134191
E1,12,naive,train,smape,4.812573317747253,11.215060369065597,28.41267706210969,23.600103744362436,735,0,1134191,1134191
E1,12,naive,train,mase,0.9146705456304491,1.2855221348579695,2.139071085644117,1.224400540013668,735,0,1134191,1134191
E1,12,naive,train,r2,-0.7241127632063354,-0.21498231786975874,0.2587620672224331,0.9828748304287686,735,0,1134191,1134191
E1,12,naive,val,mae,0.04961211211211211,0.1865865865865866,2.7070785070785073,2.657466394966395,735,0,244755,244755
E1,12,naive,val,rmse,0.13387333229569157,0.4755786950795386,9.521536337092547,9.387663004796856,735,0,244755,244755
E1,12,naive,val,smape,2.730372045024013,6.433075402297868,21.388538139388913,18.6581660943649,735,0,244755,244755
E1,12,naive,val,mase,0.3527071238564056,0.7301983970998956,1.3995751208339442,1.0468679969775385,735,0,244755,244755
E1,12,naive,val,r2,-0.7645753608465076,-0.21684019224254547,0.42282031220536737,1.1873956730518749,730,5,244755,244755
E1,12,seasonal,test,mae,0.1804145936981758,0.5817812722103767,13.306924307036248,13.126509713338072,735,0,246225,246225
E1,12,seasonal,test,rmse,0.3557874103916361,1.3108755445123932,23.28632562955037,22.930538219158734,735,0,246225,246225
E1,12,seasonal,test,smape,7.971153513866833,20.01790560928047,92.38389596034608,84.41274244647924,735,0,246225,246225
E1,12,seasonal,test,mase,1.1193873169679343,1.9214194378612843,5.017434115569048,3.898046798601114,735,0,246225,246225
E1,12,seasonal,test,r2,-1.6598809831819283,-0.8908985499526633,-0.37931125701972096,1.2805697261622073,730,5,246225,246225
E1,12,seasonal,train,mae,0.1921512049941928,0.6572354094076656,13.120299796747968,12.928148591753775,735,0,940151,1134191
E1,12,seasonal,train,rmse,0.4401522269339928,1.7657333303098002,23.667907096698706,23.227754869764713,735,0,940151,1134191
E1,12,seasonal,train,smape,9.340547554846784,19.862796114488553,75.40912530483763,66.06857774999085,735,0,940151,1134191
E1,12,seasonal,train,mase,1.3040956297515762,2.088892164112715,4.003907678294848,2.6998120485432713,735,0,940151,1134191
E1,12,seasonal,train,r2,-1.2103077043198036,-0.9340296348705028,-0.4279920648986072,0.7823156394211964,735,0,940151,1134191
E1,12,seasonal,val,mae,0.09226309642976312,0.3283998283998284,6.327529315029315,6.235266218599552,735,0,244755,244755
E1,12,seasonal,val,rmse,0.25219410842753653,0.6925625171195959,15.718836571536839,15.466642463109302,735,0,244755,244755
E1,12,seasonal,val,smape,4.352685931993836,13.306185671077305,40.85166576765104,36.49897983565721,735,0,244755,244755
E1,12,seasonal,val,mase,0.6509287337318057,1.1185919394331691,2.697573704415562,2.046644970683756,735,0,244755,244755
E1,12,seasonal,val,r2,-3.3585982792206233,-1.3280107883430095,-0.7272569590865011,2.6313413201341223,730,5,244755,244755
E2,1,ma6,test,mae,0.1538527043765483,0.40998314065510594,2.6727288627397012,2.518876158363153,302,0,104492,104492
E2,1,ma6,test,rmse,0.2909994948619503,1.0725498450752826,6.942744540006254,6.651745045144304,302,0,104492,104492
E2,1,ma6,test,smape,5.641191225657653,12.64980019928802,27.62023059027881,21.979039364621155,302,0,104492,104492
E2,1,ma6,test,mase,0.7833682804904883,1.131888108743642,2.344000779279049,1.5606324987885607,302,0,104492,104492
E2,1,ma6,test,r2,-0.20190302124239984,-0.0653761582364315,0.351984499613185,0.5538875208555849,302,0,104492,104492
E2,1,ma6,train,mae,0.15175045354595335,0.3965664528949629,1.386928749032717,1.2351782954867636,302,0,469502,469502
E2,1,ma6,train,rmse,0.39024522989803057,1.0911233177110677,5.407226461616425,5.016981231718394,302,0,469502,469502
E2,1,ma6,train,smape,5.841598984547978,10.397041316694311,19.956236572557046,14.114637588009067,302,0,469502,469502
E2,1,ma6,train,mase,0.872688344265542,1.088809747038693,1.6939369635951786,0.8212486193296367,302,0,469502,469502
E2,1,ma6,train,r2,-0.12066850784772182,0.172109761306737,0.5694889211129488,0.6901574289606707,302,0,469502,469502
E2,1,ma6,val,mae,0.11571382428940562,0.41864502583979335,2.0316577842377264,1.9159439599483208,302,0,103888,103888
E2,1,ma6,val,rmse,0.2176291704342761,0.8949258760722539,5.437765873239039,5.220136702804763,302,0,103888,103888
E2,1,ma6,val,smape,5.268111938741736,11.220485636852823,26.15193707198115,20.883825133239412,302,0,103888,103888
E2,1,ma6,val,mase,0.7336952412636281,1.0870643489401626,2.6305684829109817,1.8968732416473535,302,0,103888,103888
