env,series_id,log_muc_tai,log_cv,acf_lag1,acf_lag288,pc1,pc2,cum
E3,E3_m_3577,1.5963318473728554,-0.4485541631422398,0.7702658909708124,0.3437767840042154,0.9112354250767867,-0.48583633461496123,1
E3,E3_m_359,1.5980580064922512,-0.5675995490805865,0.8600701548463774,0.5106752787887492,1.1325602503451022,-1.1159704631386986,1
E3,E3_m_3593,0.9403573649255452,-0.5772095512553272,0.9779364528033411,0.6967914812266386,0.866765116146257,-1.3915168386900438,1
E3,E3_m_3594,1.5666446247089763,-0.48145054759945816,0.8262513965279862,0.4170381424017437,1.0279753746257596,-0.7171322521136991,1
E3,E3_m_3595,1.5212566555169011,-0.43090084596062833,0.8217761418326497,0.4151263829317124,1.0033630661857296,-0.6191213189320016,1
E3,E3_m_3597,1.5242669906079842,-0.3810446730033335,0.8562503751374334,0.32692794690075133,1.0662319437149619,-0.28413604908979245,1
E3,E3_m_3599,1.5350325091289747,-0.34040699382493017,0.8952348723975032,0.2271436199972536,1.1351241423069927,0.06795550977389268,1
E3,E3_m_3610,1.4650301955790095,-0.4489507102012218,0.8347066657793041,0.4901423402306259,1.0080098370937551,-0.8354930585626056,1
E3,E3_m_3620,1.0978676990734546,-0.5582955836866154,0.9866512852158379,0.7617734930944486,1.0803016813471222,-1.5990285621255151,1
E3,E3_m_3627,1.665233407004853,-0.6664045472776471,0.8507912563268732,0.4963913022233342,1.1104362295837762,-1.2541840950054195,1
E3,E3_m_3642,1.6165012382491102,-0.6192889726883559,0.8275214032099484,0.44463054868975876,1.0124059355008155,-1.0247599512057477,1
E3,E3_m_3643,1.603385008154775,-0.5834665690729253,0.8537004104683475,0.4748647910504148,1.095338771195217,-1.0428952288988536,1
E3,E3_m_3657,1.4860437310200867,-0.43772261619377756,0.8533231631023992,0.39485944669624595,1.0262110795777812,-0.5508998635710005,1
E3,E3_m_3677,1.5692685554777142,-0.5185058889787618,0.8540176164683286,0.5254605463960699,1.1280137188371422,-1.0737008180231367,1
E3,E3_m_3691,1.5985366960386593,-0.5420950895936214,0.7316821265948632,0.423400172095535,0.8142283838030308,-0.8669223164390106,1
E3,E3_m_3692,1.6234652891125283,-0.6008574224678167,0.8612255030508956,0.4376227808709775,1.1015886426219552,-0.9693337248512891,1
E3,E3_m_3699,1.599126650452055,-0.5012217013262245,0.8471940370762145,0.4017838917195252,1.086177624535114,-0.7099162448412987,1
E3,E3_m_3701,1.615795210222532,-0.5917288490759554,0.8277231274639503,0.42422483909572267,1.0174984398471805,-0.9242939619574195,1
E3,E3_m_3703,1.608248803342225,-0.5838475234343601,0.8528727452223192,0.48452106547203966,1.1029219214110082,-1.0727292693257244,1
