nguon,dich,h,model,so_sanh,n_chuoi,mae_p50_N0,mae_p50_Nk,hieu_p50,n_tot_hon_N0,p,p_holm,co_y_nghia,ket_luan
E1,E3,12,lr,N2_vs_N0,497,6.520227246861018,7.08207121492002,0.4735132858119684,155,4.284073252402808e-09,2.1420366262014042e-08,True,tệ hơn N0
E1,E3,12,rf,N1_vs_N0,497,6.653869201979249,6.412180528699334,-0.15160798840881817,346,3.8543199687015215e-11,2.312591981220913e-10,True,tốt hơn N0
E1,E3,12,rf,N2_vs_N0,497,6.653869201979249,7.150662063967734,0.4064565299665732,175,0.022869010269196664,0.04573802053839333,True,tệ hơn N0
E1,E3,12,ridge,N1_vs_N0,497,6.520227207269221,6.261164407934318,-0.2464479819458667,389,5.197120276935993e-21,4.1576962215487944e-20,True,tốt hơn N0
E1,E3,12,ridge,N2_vs_N0,497,6.520227207269221,7.082071213380898,0.4735134973155155,155,4.284073252402808e-09,2.1420366262014042e-08,True,tệ hơn N0
E1,E3,12,svr,N1_vs_N0,497,6.393311355260217,6.604377288486828,0.20606801128944863,100,2.4490845842511197e-51,2.204176125826008e-50,True,tệ hơn N0
E1,E3,12,svr,N2_vs_N0,497,6.393311355260217,7.0998843513592265,0.5732087122717688,34,5.478318366683165e-76,5.478318366683165e-75,True,tệ hơn N0
E1,E3,12,xgb,N1_vs_N0,497,6.735214927283975,6.581828945704552,-0.050134475268995615,275,0.8461616743040183,0.8461616743040183,False,không khác
E1,E3,12,xgb,N2_vs_N0,497,6.735214927283975,7.215735365943681,0.3684990614790289,185,0.0005716521099987272,0.0017149563299961815,True,tệ hơn N0
E2,E1,1,lr,N1_vs_N0,735,0.5132750513329827,0.420156039561301,-0.06998714959515462,444,3.451452834973841e-05,0.00013805811339895365,True,tốt hơn N0
E2,E1,1,lr,N2_vs_N0,735,0.5132750513329827,0.480983834429625,-0.04494791112336527,632,1.490056174546357e-84,1.490056174546357e-83,True,tốt hơn N0
E2,E1,1,rf,N1_vs_N0,735,0.4311882180106519,0.3763492290639106,-0.011087349528833897,432,0.00026478060669129236,0.0005295612133825847,True,tốt hơn N0
E2,E1,1,rf,N2_vs_N0,735,0.4311882180106519,0.4335013265059396,0.009692748525783806,339,6.044389585048817e-07,3.0221947925244085e-06,True,tệ hơn N0
E2,E1,1,ridge,N1_vs_N0,735,0.5132750656642855,0.4201560409347417,-0.069987127456062,444,3.451452834973841e-05,0.00013805811339895365,True,tốt hơn N0
E2,E1,1,ridge,N2_vs_N0,735,0.5132750656642855,0.4809838442675972,-0.044947982253960905,632,1.490056174546357e-84,1.490056174546357e-83,True,tốt hơn N0
E2,E1,1,svr,N1_vs_N0,735,0.3423759592620925,0.3934682820832578,0.028333465608872593,262,1.4826268357343828e-40,1.1861014685875063e-39,True,tệ hơn N0
E2,E1,1,svr,N2_vs_N0,735,0.3423759592620925,0.365653689762432,-0.010093807601981704,485,9.507683754454512e-29,6.655378628118159e-28,True,tốt hơn N0
E2,E1,1,xgb,N1_vs_N0,735,0.4401227638670934,0.3750094846233437,-0.016554369858231104,442,0.0043119981377177895,0.0043119981377177895,True,tốt hơn N0
E2,E1,1,xgb,N2_vs_N0,735,0.4401227638670934,0.4336973103162562,-0.008123998685191508,420,2.5003326792898455e-17,1.5001996075739073e-16,True,tốt hơn N0
E2,E1,6,lr,N1_vs_N0,735,0.9336867706178128,0.4668983398245321,-0.4381281714460522,507,0.002504115713604087,0.012520578568020435,True,tốt hơn N0
E2,E1,6,lr,N2_vs_N0,735,0.9336867706178128,0.5141921468649447,-0.49969346859102476,678,3.267199899574152e-95,3.267199899574152e-94,True,tốt hơn N0
E2,E1,6,rf,N1_vs_N0,735,0.6541719939687717,0.4499445822644948,-0.0381160383623206,498,0.021142711651360897,0.0634281349540827,False,không khác
E2,E1,6,rf,N2_vs_N0,735,0.6541719939687717,0.5074696271699523,-0.0037401445236494024,381,4.2364617701232265e-10,2.9655232390862585e-09,True,tốt hơn N0
E2,E1,6,ridge,N1_vs_N0,735,0.9336867512177152,0.4668983359709524,-0.4381281637082324,507,0.002504115713604087,0.012520578568020435,True,tốt hơn N0
E2,E1,6,ridge,N2_vs_N0,735,0.9336867512177152,0.5141920971412699,-0.499693503986946,678,3.267199899574152e-95,3.267199899574152e-94,True,tốt hơn N0
E2,E1,6,svr,N1_vs_N0,735,0.3788572630556052,0.4375351091720484,0.011166582029682001,316,5.693986530442093e-18,4.5551892243536747e-17,True,tệ hơn N0
E2,E1,6,svr,N2_vs_N0,735,0.3788572630556052,0.5466081497755012,0.022580683842820595,255,0.058177633678871125,0.11635526735774225,False,không khác
