env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E1,241,0.023771,-0.017129,0.087051,,1.593941
E1,242,0.013706,-0.01965,0.080215,,1.594714
E1,243,0.013703,-0.01982,0.080609,,1.595487
E1,244,0.011566,-0.018525,0.079923,,1.596262
E1,245,0.015668,-0.021006,0.07856,,1.597037
E1,246,0.021392,-0.019547,0.087891,,1.597813
E1,247,0.010341,-0.020772,0.073714,,1.59859
E1,248,0.013791,-0.018708,0.080569,,1.599367
E1,249,0.012804,-0.020089,0.082293,,1.600146
E1,250,0.012016,-0.020016,0.081843,,1.600925
E1,251,0.029819,-0.013843,0.090155,,1.601704
E1,252,0.051556,-0.001536,0.164647,,1.602485
E1,253,0.019491,-0.016755,0.092288,,1.603266
E1,254,0.01635,-0.018067,0.088769,,1.604048
E1,255,0.020924,-0.019925,0.087333,,1.604831
E1,256,0.017955,-0.021299,0.088799,,1.605615
E1,257,0.015138,-0.021613,0.089325,,1.606399
E1,258,0.020402,-0.020944,0.091888,,1.607184
E1,259,0.020612,-0.023183,0.088683,,1.60797
E1,260,0.018359,-0.021231,0.089538,,1.608757
E1,261,0.019968,-0.019141,0.091915,,1.609544
E1,262,0.025387,-0.019019,0.093177,,1.610333
E1,263,0.022814,-0.017168,0.097269,,1.611122
E1,264,0.053135,-0.006152,0.173929,,1.611911
E1,265,0.023478,-0.017571,0.100228,,1.612702
E1,266,0.022275,-0.018623,0.099436,,1.613493
E1,267,0.0267,-0.020436,0.091971,,1.614285
E1,268,0.026871,-0.019535,0.090745,,1.615078
E1,269,0.02532,-0.019573,0.097567,,1.615872
E1,270,0.017316,-0.021114,0.1026,,1.616666
E1,271,0.017244,-0.019146,0.091177,,1.617462
E1,272,0.027928,-0.017981,0.095423,,1.618258
E1,273,0.030329,-0.016423,0.095338,,1.619054
E1,274,0.023137,-0.018733,0.096875,,1.619852
E1,275,0.025831,-0.013621,0.106655,,1.62065
E1,276,0.052304,-0.004944,0.190062,,1.621449
E1,277,0.02532,-0.017959,0.102124,,1.622249
E1,278,0.031287,-0.019077,0.100864,,1.62305
E1,279,0.02344,-0.019269,0.098685,,1.623852
E1,280,0.0283,-0.018045,0.101909,,1.624654
E1,281,0.032331,-0.018648,0.103688,,1.625457
E1,282,0.042141,-0.012946,0.124052,,1.626261
E1,283,0.037723,-0.014825,0.152813,,1.627065
E1,284,0.040635,-0.014266,0.121986,,1.627871
E1,285,0.043742,-0.016251,0.11898,,1.628677
E1,286,0.048482,-0.013396,0.137605,,1.629484
E1,287,0.075474,-0.00445,0.194874,,1.630292
E1,288,0.133397,0.003068,0.433828,,1.631101
E1,289,0.055008,-0.010073,0.164974,,1.63191
E1,290,0.04565,-0.013496,0.129815,,1.632721
E1,291,0.043295,-0.015841,0.114805,,1.633532
E1,292,0.026767,-0.015198,0.111356,,1.634344
E1,293,0.033912,-0.014105,0.14675,,1.635156
E1,294,0.036058,-0.015841,0.123199,,1.63597
