env,h,model,tang,metric,p25,p50,p75,iqr,n_chuoi,n_loai,cv_p50,ti_le_cham_chan_p50
E2,12,xgb,cao,mae,1.5629866561679102,6.47427461415381,14.227617819668792,12.664631163500882,101,0,1.587348,0.574619
E2,12,xgb,cao,rmse,3.8642073843573024,12.561657444497577,26.92987168141161,23.065664297054305,101,0,1.587348,0.574619
E2,12,xgb,cao,smape,34.459692393702824,105.93046656640186,141.61587216139878,107.15617976769596,101,0,1.587348,0.574619
E2,12,xgb,cao,mase,1.7115626159688928,4.9556561099741305,20.07532305280481,18.363760436835914,101,0,1.587348,0.574619
E2,12,xgb,cao,r2,-0.3260233649617794,-0.1207097860203387,0.25493355411719,0.5809569190789694,101,0,1.587348,0.574619
E2,12,svr,thap,mae,0.0753872118818072,0.1194524657037789,0.2209916354228704,0.14560442354106318,101,0,0.117021,0.018462
E2,12,svr,thap,rmse,0.1163369010777021,0.2202419065663422,0.4536210562184308,0.3372841551407287,101,0,0.117021,0.018462
E2,12,svr,thap,smape,4.145738490792575,5.042193562432671,7.834572102192647,3.6888336114000717,101,0,0.117021,0.018462
E2,12,svr,thap,mase,0.7492803687483006,0.871885109353417,1.2591217876588887,0.5098414189105881,101,0,0.117021,0.018462
E2,12,svr,thap,r2,-0.1317893552781743,-0.0175293898616044,0.116552779987607,0.2483421352657813,101,0,0.117021,0.018462
E2,12,svr,vua,mae,0.20605093638303967,0.40526842177735195,1.705816275999851,1.4997653396168114,100,0,0.5369165,0.0998655
E2,12,svr,vua,rmse,0.5578053215080326,1.3018740170506362,3.9259396365960777,3.368134315088045,100,0,0.5369165,0.0998655
E2,12,svr,vua,smape,9.890997751412788,15.182053155305018,23.983514163030335,14.092516411617547,100,0,0.5369165,0.0998655
E2,12,svr,vua,mase,0.8428338152393199,1.2748779143151157,1.7184842965488594,0.8756504813095395,100,0,0.5369165,0.0998655
E2,12,svr,vua,r2,-0.21857263048790737,-0.054974400798438,0.0095082274781689,0.22808085796607627,100,0,0.5369165,0.0998655
E2,12,svr,cao,mae,1.0539978730620614,4.799642568587759,10.533125683923084,9.479127810861023,101,0,1.587348,0.574619
E2,12,svr,cao,rmse,3.62006464843909,13.836970492289698,24.87217330740224,21.25210865896315,101,0,1.587348,0.574619
E2,12,svr,cao,smape,22.56611248473703,50.419403726060565,64.71984797986937,42.15373549513234,101,0,1.587348,0.574619
E2,12,svr,cao,mase,1.3323380840922945,4.622947182215799,14.983683354593266,13.651345270500972,101,0,1.587348,0.574619
E2,12,svr,cao,r2,-0.2949012770324644,-0.0690818046732799,0.1320854198175616,0.426986696850026,101,0,1.587348,0.574619
E3,1,naive,thap,mae,3.7653639132473047,4.1301875895729765,4.329858610387608,0.5644946971403031,166,0,0.22706199999999999,0.206012
E3,1,naive,thap,rmse,5.029498467468714,5.411984712999472,5.706946118797902,0.6774476513291878,166,0,0.22706199999999999,0.206012
E3,1,naive,thap,smape,7.790293989458485,9.235511962137956,9.906059769153936,2.115765779695451,166,0,0.22706199999999999,0.206012
E3,1,naive,thap,mase,0.9412875520995835,0.9933111961192584,1.0472845135343372,0.10599696143475368,166,0,0.22706199999999999,0.206012
E3,1,naive,thap,r2,0.6111578021666428,0.6514814876221013,0.7040640287554327,0.09290622658878989,166,0,0.22706199999999999,0.206012
E3,1,naive,vua,mae,4.029569563347717,4.3782769456678166,4.538292190292455,0.5087226269447376,165,0,0.285999,0.233127
E3,1,naive,vua,rmse,5.560965895653249,5.798041186277304,6.062179711644665,0.5012138159914166,165,0,0.285999,0.233127
E3,1,naive,vua,smape,9.890128230234104,11.030640460581564,11.713373276114432,1.823245045880327,165,0,0.285999,0.233127
E3,1,naive,vua,mase,0.905579839677302,0.9681890702740114,1.0129338468237865,0.10735400714648446,165,0,0.285999,0.233127
E3,1,naive,vua,r2,0.6337908753618028,0.6776030761701987,0.8599655312384022,0.22617465587659946,165,0,0.285999,0.233127
E3,1,naive,cao,mae,4.121311414290082,4.403367278167131,4.616670157706378,0.49535874341629604,166,0,0.3644935,0.2653765
E3,1,naive,cao,rmse,5.697719308474722,6.109112168236749,6.461622681783172,0.7639033733084499,166,0,0.3644935,0.2653765
E3,1,naive,cao,smape,11.117939463716153,13.12986167719848,14.767758840602374,3.649819376886221,166,0,0.3644935,0.2653765
E3,1,naive,cao,mase,0.8750146073697308,0.9422598921672595,0.9890261908990394,0.11401158352930862,166,0,0.3644935,0.2653765
E3,1,naive,cao,r2,0.642308671470599,0.7155971792134493,0.9031399011220762,0.2608312296514772,166,0,0.3644935,0.2653765
E3,1,ma6,thap,mae,4.529933892022696,4.7795419121689475,5.031683306937587,0.5017494149148902,166,0,0.22706199999999999,0.206012
E3,1,ma6,thap,rmse,5.9422640411857355,6.298558396961482,6.6102814010794715,0.668017359893736,166,0,0.22706199999999999,0.206012
E3,1,ma6,thap,smape,9.39590162528137,10.7422400773065,11.655989444449657,2.2600878191682874,166,0,0.22706199999999999,0.206012
E3,1,ma6,thap,mase,1.1095650067014406,1.1674640082552434,1.2200127229525126,0.11044771625107197,166,0,0.22706199999999999,0.206012
E3,1,ma6,thap,r2,0.4966829003816411,0.5374823402877811,0.598931777172101,0.10224887679045991,166,0,0.22706199999999999,0.206012
E3,1,ma6,vua,mae,4.865582878402624,5.125460633714492,5.355248485808333,0.4896656074057084,165,0,0.285999,0.233127
E3,1,ma6,vua,rmse,6.526933365993621,6.874533100058261,7.392140442025258,0.8652070760316368,165,0,0.285999,0.233127
