env,h,model_a,model_b,n_chuoi,mae_p50_a,mae_p50_b,delta_p50,hieu_p50,n_a_thap_hon,thong_ke,p,p_holm,co_y_nghia,tot_hon
E1,6,seasonal,svr,735,0.6005301150462441,0.3960115456093419,0.20451856943690222,0.1808470680361932,89,18921.0,9.643311307603781e-91,1.928662261520756e-89,True,svr
E1,6,lr,ridge,735,0.8781132901285866,0.8783373546507118,-0.00022406452212520023,0.0002531781574148795,202,75225.0,1.9551134260582873e-25,1.7596020834524585e-24,True,ridge
E1,6,lr,rf,735,0.8781132901285866,0.5560619104796859,0.32205137964890074,0.3922028989843367,85,26663.0,2.6126180663209864e-79,4.702712519377775e-78,True,rf
E1,6,lr,xgb,735,0.8781132901285866,0.587649871308433,0.2904634188201536,0.3736193928733883,72,17245.0,2.547463236418248e-93,6.623404414687445e-92,True,xgb
E1,6,lr,svr,735,0.8781132901285866,0.3960115456093419,0.48210174451924476,0.4313067559089363,57,16943.0,8.662663685994305e-94,2.4255458320784055e-92,True,svr
E1,6,ridge,rf,735,0.8783373546507118,0.5560619104796859,0.32227544417102594,0.3918572018330855,86,26670.0,2.673367920566102e-79,4.702712519377775e-78,True,rf
E1,6,ridge,xgb,735,0.8783373546507118,0.587649871308433,0.2906874833422788,0.3732633814966858,72,17257.0,2.6588722421640028e-93,6.647180605410007e-92,True,xgb
E1,6,ridge,svr,735,0.8783373546507118,0.3960115456093419,0.48232580904136996,0.4309478611356935,57,16968.0,9.47275293110143e-94,2.557643291397386e-92,True,svr
E1,6,rf,xgb,735,0.5560619104796859,0.587649871308433,-0.03158796082874715,-0.024153587355141087,491,115596.0,0.0006460415872533585,0.003230207936266793,True,rf
E1,6,rf,svr,735,0.5560619104796859,0.3960115456093419,0.16005036487034402,0.057107535477136706,135,61917.0,3.838572857911867e-37,4.222430143703054e-36,True,svr
E1,6,xgb,svr,735,0.587649871308433,0.3960115456093419,0.19163832569909117,0.08454588382884809,117,61509.0,1.5447206129782789e-37,2.0081367968717624e-36,True,svr
E1,12,naive,ma6,735,0.4493532338308457,0.4558156188753204,-0.006462385044474717,-0.0172222222222222,503,74319.0,2.0824119245179087e-24,1.874170732066118e-23,True,naive
E1,12,naive,seasonal,735,0.4493532338308457,0.5817812722103767,-0.132428038379531,-0.1134044065387349,584,35909.5,2.1896649096667675e-65,3.7224303464335045e-64,True,naive
E1,12,naive,lr,735,0.4493532338308457,1.0489235994031263,-0.5995703655722806,-0.5902207660200584,676,22524.0,2.5252373417903283e-85,6.060569620296788e-84,True,naive
E1,12,naive,ridge,735,0.4493532338308457,1.0489916305433542,-0.5996383967125085,-0.5902534528514046,676,22528.0,2.559900120574776e-85,6.060569620296788e-84,True,naive
E1,12,naive,rf,735,0.4493532338308457,0.5938777786502205,-0.14452454481937482,-0.065191984792085,599,58633.0,2.191459152390423e-40,2.4106050676294653e-39,True,naive
E1,12,naive,xgb,735,0.4493532338308457,0.6390367810168669,-0.1896835471860212,-0.1232751152883122,618,50395.0,3.8558476794782995e-49,5.012601983321789e-48,True,naive
E1,12,naive,svr,735,0.4493532338308457,0.4103335782668061,0.03901965556403958,-0.009360219791885699,418,119792.0,0.007300773157776975,0.021902319473330923,True,naive
E1,12,ma6,seasonal,735,0.4558156188753204,0.5817812722103767,-0.12596565333505627,-0.08579246624022763,560,44979.5,4.5412220889752297e-54,6.811833133462845e-53,True,ma6
E1,12,ma6,lr,735,0.4558156188753204,1.0489235994031263,-0.5931079805278059,-0.5679490725515692,677,19164.0,2.264518574296284e-90,5.887748293170338e-89,True,ma6
E1,12,ma6,ridge,735,0.4558156188753204,1.0489916305433542,-0.5931760116680338,-0.5679808939590582,677,19166.0,2.280468741830644e-90,5.887748293170338e-89,True,ma6
