series_id,env,mean,std,n_diem,cv,cv_chan,ti_le_cham_chan
E1_392,E1,7.206051,21.103184,2304,2.928537,3.588485,0.816093
E1_393,E1,1.350206,0.643508,2304,0.476599,8.547676,0.055758
E1_394,E1,1.278355,1.06035,2304,0.829465,8.787806,0.094388
E1_395,E1,1.502584,0.824722,2304,0.548869,8.09642,0.067792
E1_396,E1,1.677854,0.676673,2304,0.403297,7.655059,0.052684
E1_397,E1,1.647512,0.859176,2304,0.521499,7.726422,0.067496
E1_398,E1,2.028688,0.664825,2304,0.327712,6.949313,0.047157
E1_399,E1,1.105367,0.59989,2304,0.542707,9.458734,0.057376
E1_40,E1,1.134654,0.422683,2304,0.372522,9.334484,0.039908
E1_400,E1,1.427739,0.675797,2304,0.473334,8.309082,0.056966
E1_401,E1,2.478407,0.677664,2304,0.273427,6.272838,0.043589
E1_402,E1,1.743012,0.958754,2304,0.550056,7.508125,0.073261
E1_403,E1,1.690969,0.636945,2304,0.376675,7.624807,0.049401
E1_404,E1,2.158758,0.934875,2304,0.433062,6.732231,0.064327
E1_405,E1,1.46775,0.783339,2304,0.533701,8.193382,0.065138
E1_406,E1,1.398583,0.87735,2304,0.627313,8.396483,0.074711
E1_407,E1,1.49676,0.703455,2304,0.469985,8.112397,0.057934
E1_408,E1,1.369206,0.664144,2304,0.485058,8.487346,0.057151
E1_409,E1,1.501196,0.67908,2304,0.452359,8.10022,0.055845
E1_410,E1,1.727244,0.844274,2304,0.488799,7.542925,0.064802
E1_411,E1,1.611186,0.913539,2304,0.566998,7.814479,0.072557
E1_412,E1,1.261537,0.712644,2304,0.564901,8.846943,0.063853
E1_413,E1,2.04577,0.806842,2304,0.394395,6.919636,0.056997
E1_414,E1,1.610076,0.672477,2304,0.417668,7.817217,0.053429
E1_415,E1,2.507315,0.782498,2304,0.312086,6.235647,0.050049
E1_416,E1,2.333322,0.850802,2304,0.364631,6.469726,0.05636
E1_417,E1,1.862496,0.91054,2304,0.488882,7.258884,0.067349
E1_418,E1,1.298327,0.803343,2304,0.618752,8.719069,0.070965
E1_419,E1,1.631285,1.059457,2304,0.649462,7.765396,0.083635
E1_42,E1,1.261458,9.243144,2304,7.32735,8.847223,0.828209
E1_420,E1,1.765439,0.870177,2304,0.492895,7.459433,0.066077
E1_421,E1,1.188723,0.692894,2304,0.582889,9.117232,0.063933
E1_422,E1,1.850181,0.412244,2304,0.222813,7.283459,0.030592
E1_423,E1,1.532668,0.285851,2304,0.186505,8.015343,0.023269
E1_424,E1,1.57344,0.268388,2304,0.170574,7.909173,0.021567
E1_425,E1,1.665126,0.278655,2304,0.167348,7.684759,0.021777
E1_426,E1,1.503618,0.242327,2304,0.161163,8.093594,0.019912
E1_427,E1,1.581936,0.320166,2304,0.202389,7.887566,0.025659
E1_428,E1,1.527833,0.322459,2304,0.211056,8.028211,0.026289
E1_429,E1,1.452059,0.288839,2304,0.198917,8.238187,0.024146
E1_43,E1,1.011755,1.903765,2304,1.881646,9.891317,0.190232
E1_430,E1,1.534972,0.284105,2304,0.185088,8.009229,0.023109
E1_431,E1,1.401094,0.275592,2304,0.196698,8.388849,0.023448
E1_432,E1,1.58285,0.294924,2304,0.186325,7.885252,0.023629
E1_433,E1,1.784178,0.29264,2304,0.164019,7.419448,0.022107
E1_434,E1,1.716939,0.226207,2304,0.13175,7.565922,0.017414
E1_435,E1,1.639434,0.264113,2304,0.1611,7.745751,0.020799
E1_436,E1,1.611959,0.261472,2304,0.162207,7.812574,0.020762
E1_437,E1,1.674284,0.295573,2304,0.176537,7.663356,0.023036
E1_438,E1,1.542138,0.1992,2304,0.129172,7.990309,0.016166
E1_439,E1,1.630881,0.159698,2304,0.097921,7.766373,0.012608
E1_44,E1,2.453983,0.376633,2304,0.153478,6.304766,0.024343
E1_440,E1,1.614603,1.715853,2304,1.062709,7.80607,0.136139
E1_441,E1,1.68838,0.177518,2304,0.105141,7.630752,0.013779
E1_442,E1,1.590321,0.215403,2304,0.135446,7.866409,0.017218
E1_443,E1,1.602832,0.174427,2304,0.108824,7.835149,0.013889
E1_444,E1,1.567603,0.252889,2304,0.161322,7.92412,0.020358
E1_445,E1,1.773778,0.46876,2304,0.264272,7.441562,0.035513
E1_446,E1,1.629985,0.269579,2304,0.165387,7.768542,0.021289
E1_447,E1,1.664088,0.274323,2304,0.164849,7.687195,0.021445
E1_448,E1,1.657218,0.179963,2304,0.108594,7.703382,0.014097
E1_449,E1,1.669814,0.188925,2304,0.113141,7.673782,0.014744
E1_45,E1,2.914793,6.438637,2304,2.208952,5.771287,0.382749
E1_450,E1,1.599505,0.227511,2304,0.142238,7.843427,0.018135
E1_451,E1,1.901636,0.285171,2304,0.149961,7.182361,0.020879
E1_452,E1,1.952467,0.249665,2304,0.127871,7.086414,0.018045
E1_453,E1,2.073427,1.703768,2304,0.821716,6.872361,0.119568
E1_454,E1,1.948759,0.183269,2304,0.094044,7.093286,0.013258
E1_455,E1,1.925879,0.251062,2304,0.130362,7.13613,0.018268
E1_456,E1,1.973818,0.329644,2304,0.167008,7.047215,0.023698
E1_457,E1,2.046795,0.273339,2304,0.133545,6.917867,0.019304
E1_458,E1,1.682065,0.356957,2304,0.212213,7.645308,0.027757
E1_459,E1,1.966664,0.4018,2304,0.204306,7.060279,0.028937
E1_46,E1,3.487215,1.500771,2304,0.430364,5.260815,0.081806
E1_460,E1,2.09179,0.310926,2304,0.148641,6.841487,0.021726
E1_461,E1,2.166291,0.30906,2304,0.142668,6.720257,0.02123
E1_462,E1,1.803248,0.298647,2304,0.165616,7.379396,0.022443
E1_463,E1,1.375666,0.290418,2304,0.211111,8.467116,0.024933
E1_464,E1,1.361343,0.139413,2304,0.102409,8.512162,0.012031
E1_465,E1,1.607833,0.131122,2304,0.081552,7.822757,0.010425
E1_466,E1,1.267263,0.140345,2304,0.110747,8.826677,0.012547
E1_467,E1,1.675412,0.149287,2304,0.089105,7.660731,0.011631
E1_468,E1,1.586463,0.250689,2304,0.158018,7.876121,0.020063
E1_469,E1,1.693639,0.182713,2304,0.107882,7.618692,0.01416
E1_47,E1,8.094438,4.844756,2304,0.598529,3.369594,0.177626
E1_470,E1,1.634686,0.161317,2304,0.098684,7.757179,0.012722
E1_471,E1,1.749439,0.189114,2304,0.1081,7.494076,0.014425
E1_472,E1,1.724367,0.174621,2304,0.101266,7.549324,0.013414
E1_473,E1,1.776881,0.1762,2304,0.099162,7.434944,0.013337
E1_474,E1,1.814922,0.167511,2304,0.092296,7.355188,0.012548
E1_475,E1,1.651565,0.145529,2304,0.088116,7.716777,0.011419
E1_476,E1,1.508193,0.147964,2304,0.098107,8.08112,0.01214
E1_477,E1,1.584546,0.130153,2304,0.082139,7.880963,0.010422
E1_478,E1,1.527167,0.189319,2304,0.123968,8.029989,0.015438
E1_479,E1,1.361487,0.1364,2304,0.100184,8.511703,0.01177
E1_480,E1,1.554459,0.12977,2304,0.083483,7.958083,0.01049
E1_481,E1,1.38339,0.225795,2304,0.163219,8.443115,0.019332
E1_482,E1,1.560358,0.128795,2304,0.082542,7.942786,0.010392
E1_483,E1,1.590567,0.136856,2304,0.086042,7.86579,0.010939
E1_484,E1,1.176044,0.146112,2304,0.124241,9.166833,0.013553
E1_485,E1,1.666181,0.141329,2304,0.084822,7.682284,0.011041
E1_486,E1,1.4801,0.135326,2304,0.09143,8.158616,0.011207
E1_487,E1,1.595037,0.135001,2304,0.084638,7.854584,0.010776
E1_488,E1,1.387199,0.142483,2304,0.102713,8.431352,0.012182
E1_489,E1,1.509628,0.140158,2304,0.092843,8.07722,0.011494
