env,mode,series_id,mu,sd,n_dong_train
E1,N2,E1_229,,,494
E1,N0,E1_23,,,1612
E1,N1,E1_23,4.831405825357439,2.351824587152951,1612
E1,N2,E1_23,,,1612
E1,N0,E1_230,,,470
E1,N1,E1_230,45.21778368794326,40.718153901159035,470
E1,N2,E1_230,,,470
E1,N0,E1_231,,,481
E1,N1,E1_231,42.29024601524601,37.38465779705018,481
E1,N2,E1_231,,,481
E1,N0,E1_232,,,469
E1,N1,E1_232,47.81423240938166,40.25955657508843,469
E1,N2,E1_232,,,469
E1,N0,E1_233,,,483
E1,N1,E1_233,41.22001444107422,39.747984160786714,483
E1,N2,E1_233,,,483
E1,N0,E1_234,,,474
E1,N1,E1_234,41.32766350210971,39.9561785595332,474
E1,N2,E1_234,,,474
E1,N0,E1_235,,,479
E1,N1,E1_235,44.28697435132717,40.18369856630675,479
E1,N2,E1_235,,,479
E1,N0,E1_236,,,477
E1,N1,E1_236,41.142435359888196,40.698082484379135,477
E1,N2,E1_236,,,477
E1,N0,E1_237,,,475
E1,N1,E1_237,39.29881140350877,40.03790250123612,475
E1,N2,E1_237,,,475
E1,N0,E1_238,,,472
E1,N1,E1_238,44.47588150726393,41.21487657539802,472
E1,N2,E1_238,,,472
E1,N0,E1_239,,,1612
E1,N1,E1_239,53.12444168734492,43.876561997479335,1612
E1,N2,E1_239,,,1612
E1,N0,E1_240,,,1612
E1,N1,E1_240,18.062838606286185,35.56569269901691,1612
E1,N2,E1_240,,,1612
E1,N0,E1_241,,,1612
E1,N1,E1_241,47.79810277088503,44.17436917727369,1612
E1,N2,E1_241,,,1612
E1,N0,E1_242,,,1612
E1,N1,E1_242,17.509086612312416,36.26459857876323,1612
E1,N2,E1_242,,,1612
E1,N0,E1_243,,,1612
E1,N1,E1_243,52.161186931348226,46.09131413038111,1612
E1,N2,E1_243,,,1612
E1,N0,E1_244,,,1612
E1,N1,E1_244,18.111178807751386,36.4707206176503,1612
E1,N2,E1_244,,,1612
E1,N0,E1_245,,,1612
E1,N1,E1_245,49.96555521091812,44.97117331701635,1612
E1,N2,E1_245,,,1612
E1,N0,E1_246,,,1612
E1,N1,E1_246,27.48507030603805,39.23634293640431,1612
E1,N2,E1_246,,,1612
E1,N0,E1_247,,,1612
E1,N1,E1_247,52.06024090157154,46.78327715913676,1612
E1,N2,E1_247,,,1612
E1,N0,E1_248,,,1612
E1,N1,E1_248,26.43811517783292,39.29910575546412,1612
E1,N2,E1_248,,,1612
E1,N0,E1_249,,,1612
E1,N1,E1_249,53.63166873449131,46.43243635199912,1612
E1,N2,E1_249,,,1612
E1,N0,E1_25,,,1612
E1,N1,E1_25,4.026488833746899,2.034333501303988,1612
E1,N2,E1_25,,,1612
E1,N0,E1_250,,,1612
E1,N1,E1_250,25.595880597896723,37.83508555134204,1612
E1,N2,E1_250,,,1612
E1,N0,E1_251,,,1612
E1,N1,E1_251,48.154104631927204,44.37497687159496,1612
E1,N2,E1_251,,,1612
E1,N0,E1_252,,,1612
E1,N1,E1_252,25.87202528654142,37.2658015135967,1612
E1,N2,E1_252,,,1612
E1,N0,E1_253,,,1612
E1,N1,E1_253,49.51261373035566,45.64866850618804,1612
E1,N2,E1_253,,,1612
E1,N0,E1_254,,,1612
E1,N1,E1_254,28.113143610421833,39.36876465133313,1612
E1,N2,E1_254,,,1612
E1,N0,E1_255,,,1612
E1,N1,E1_255,52.97438999172871,45.82943771481434,1612
E1,N2,E1_255,,,1612
E1,N0,E1_256,,,1612
E1,N1,E1_256,26.067126757650946,39.28972319669107,1612
E1,N2,E1_256,,,1612
E1,N0,E1_257,,,1612
E1,N1,E1_257,52.692803970223316,46.092042601902186,1612
E1,N2,E1_257,,,1612
E1,N0,E1_258,,,1612
E1,N1,E1_258,26.60550558312655,38.73553892820017,1612
E1,N2,E1_258,,,1612
E1,N0,E1_259,,,1612
E1,N1,E1_259,52.76154363110008,45.754352700907766,1612
E1,N2,E1_259,,,1612
E1,N0,E1_260,,,1612
E1,N1,E1_260,45.72831627377999,41.33076604719796,1612
E1,N2,E1_260,,,1612
E1,N0,E1_261,,,1612
E1,N1,E1_261,50.492721257237385,46.12534165353883,1612
E1,N2,E1_261,,,1612
E1,N0,E1_262,,,1612
E1,N1,E1_262,50.36764371381307,44.178255427168395,1612
E1,N2,E1_262,,,1612
E1,N0,E1_263,,,1612
E1,N1,E1_263,52.12175868486353,46.57260290575134,1612
E1,N2,E1_263,,,1612
E1,N0,E1_264,,,1612
E1,N1,E1_264,44.31038564929693,43.772685731206785,1612
E1,N2,E1_264,,,1612
E1,N0,E1_265,,,1612
E1,N1,E1_265,48.624516645988415,45.767302391147666,1612
E1,N2,E1_265,,,1612
E1,N0,E1_266,,,1612
E1,N1,E1_266,48.92824131513648,44.26423880771987,1612
E1,N2,E1_266,,,1612
E1,N0,E1_267,,,1612
E1,N1,E1_267,49.163124224565756,47.59756645000224,1612
E1,N2,E1_267,,,1612
E1,N0,E1_268,,,1612
E1,N1,E1_268,48.2824714935602,46.46509248390747,1612
E1,N2,E1_268,,,1612
E1,N0,E1_269,,,1612
E1,N1,E1_269,47.8400404702824,46.162396998120585,1612
E1,N2,E1_269,,,1612
E1,N0,E1_270,,,1612
E1,N1,E1_270,47.2458739513175,46.51481699395461,1612
E1,N2,E1_270,,,1612
E1,N0,E1_271,,,1612
E1,N1,E1_271,49.559741854247896,45.36097964178915,1612
E1,N2,E1_271,,,1612
E1,N0,E1_272,,,1612
E1,N1,E1_272,50.42412025138839,45.24181899074124,1612
E1,N2,E1_272,,,1612
E1,N0,E1_273,,,1612
E1,N1,E1_273,48.948249549509626,46.309613050620776,1612
E1,N2,E1_273,,,1612
E1,N0,E1_274,,,1612
E1,N1,E1_274,48.57968306894718,45.7705946289936,1612
E1,N2,E1_274,,,1612
E1,N0,E1_275,,,1612
E1,N1,E1_275,48.992180937342226,46.73055270286551,1612
E1,N2,E1_275,,,1612
E1,N0,E1_276,,,1612
E1,N1,E1_276,47.48184320719603,44.80387609498184,1612
E1,N2,E1_276,,,1612
E1,N0,E1_277,,,1612
E1,N1,E1_277,47.01157852564103,46.80478327964845,1612
E1,N2,E1_277,,,1612
E1,N0,E1_278,,,1612
E1,N1,E1_278,25.197573159367515,38.23853068680888,1612
E1,N2,E1_278,,,1612
E1,N0,E1_279,,,1612
E1,N1,E1_279,49.33106481891764,46.818439854892,1612
E1,N2,E1_279,,,1612
E1,N0,E1_28,,,1612
E1,N1,E1_28,1.1206014415691834,0.3719572647011113,1612
E1,N2,E1_28,,,1612
E1,N0,E1_280,,,1612
E1,N1,E1_280,23.851562684627197,37.5101095214002,1612
E1,N2,E1_280,,,1612
E1,N0,E1_281,,,1612
E1,N1,E1_281,48.64983631959438,46.86357707450928,1612
E1,N2,E1_281,,,1612
E1,N0,E1_282,,,1612
E1,N1,E1_282,23.816062751092993,39.01036112286335,1612
E1,N2,E1_282,,,1612
E1,N0,E1_283,,,1612
E1,N1,E1_283,47.46232737055473,46.88187068380356,1612
E1,N2,E1_283,,,1612
E1,N0,E1_284,,,1612
E1,N1,E1_284,22.763753305386366,38.13466086704269,1612
E1,N2,E1_284,,,1612
E1,N0,E1_285,,,1612
