env,h,model,ung_vien,fold,n_train,n_val,mae_p50_val,giay
E2,6,ridge,"{""alpha"": 0.01}",3,529195,19026,0.6838249756545618,0.2
E2,6,ridge,"{""alpha"": 0.01}",4,550033,19026,1.0957598364198362,0.3
E2,6,ridge,"{""alpha"": 0.1}",0,466681,19026,0.9181111043092436,0.2
E2,6,ridge,"{""alpha"": 0.1}",1,487519,19026,0.8932728580696873,0.2
E2,6,ridge,"{""alpha"": 0.1}",2,508357,19026,0.6407219326685345,0.2
E2,6,ridge,"{""alpha"": 0.1}",3,529195,19026,0.6838256682037677,0.2
E2,6,ridge,"{""alpha"": 0.1}",4,550033,19026,1.095761774043844,0.2
E2,6,ridge,"{""alpha"": 1.0}",0,466681,19026,0.9181074334200096,0.2
E2,6,ridge,"{""alpha"": 1.0}",1,487519,19026,0.8932789017914464,0.2
E2,6,ridge,"{""alpha"": 1.0}",2,508357,19026,0.6407196809375098,0.2
E2,6,ridge,"{""alpha"": 1.0}",3,529195,19026,0.6838302095100363,0.2
E2,6,ridge,"{""alpha"": 1.0}",4,550033,19026,1.0957628261131296,0.2
E2,6,ridge,"{""alpha"": 10.0}",0,466681,19026,0.918104761618155,0.2
E2,6,ridge,"{""alpha"": 10.0}",1,487519,19026,0.8933543480262554,0.2
E2,6,ridge,"{""alpha"": 10.0}",2,508357,19026,0.6406907566010006,0.2
E2,6,ridge,"{""alpha"": 10.0}",3,529195,19026,0.6838545509116359,0.2
E2,6,ridge,"{""alpha"": 10.0}",4,550033,19026,1.0957885791040949,0.2
E2,6,ridge,"{""alpha"": 100.0}",0,466681,19026,0.9181519306525984,0.2
E2,6,ridge,"{""alpha"": 100.0}",1,487519,19026,0.8941134538600054,0.2
E2,6,ridge,"{""alpha"": 100.0}",2,508357,19026,0.640468478581262,0.2
E2,6,ridge,"{""alpha"": 100.0}",3,529195,19026,0.6841209628594616,0.2
E2,6,ridge,"{""alpha"": 100.0}",4,550033,19026,1.096119594918013,0.2
E2,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,466681,19026,0.6325167708697371,2.8
E2,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,487519,19026,0.4580071189596358,3.0
E2,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,508357,19026,0.4615092115264839,3.0
E2,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,529195,19026,0.5248203521683102,3.2
E2,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,550033,19026,0.6584230561735769,3.4
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,466681,19026,0.5697088140659231,4.2
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,487519,19026,0.45367448065016,4.5
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,508357,19026,0.4735654105328851,4.8
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,529195,19026,0.5241330897366557,5.9
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,550033,19026,0.5452551079805565,5.2
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,466681,19026,0.5879850054149905,8.3
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,487519,19026,0.4603153412093982,9.5
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,508357,19026,0.4752067160984825,13.6
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,529195,19026,0.5182169876221177,14.5
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,550033,19026,0.5667854401079526,14.8
E2,12,lr,{},0,464338,17214,1.4636218586860346,0.4
E2,12,lr,{},1,485176,17214,1.2348531993723535,0.3
E2,12,lr,{},2,506014,17214,0.7964541982986972,0.4
E2,12,lr,{},3,526852,17214,1.0255473254019756,0.3
E2,12,lr,{},4,547690,17214,1.658123548965008,0.3
E2,12,ridge,"{""alpha"": 0.01}",0,464338,17214,1.463597715667814,0.2
E2,12,ridge,"{""alpha"": 0.01}",1,485176,17214,1.2348221924087244,0.2
E2,12,ridge,"{""alpha"": 0.01}",2,506014,17214,0.796411182567689,0.2
E2,12,ridge,"{""alpha"": 0.01}",3,526852,17214,1.0255508389389305,0.2
E2,12,ridge,"{""alpha"": 0.01}",4,547690,17214,1.6580513415977969,0.2
E2,12,ridge,"{""alpha"": 0.1}",0,464338,17214,1.4636020406644945,0.2
E2,12,ridge,"{""alpha"": 0.1}",1,485176,17214,1.2348245347666944,0.2
E2,12,ridge,"{""alpha"": 0.1}",2,506014,17214,0.7964130104434619,0.2
E2,12,ridge,"{""alpha"": 0.1}",3,526852,17214,1.0255603924132228,0.2
E2,12,ridge,"{""alpha"": 0.1}",4,547690,17214,1.6580523956588835,0.2
E2,12,ridge,"{""alpha"": 1.0}",0,464338,17214,1.4636211225163869,0.2
