nguon,dich,mode,lich,h,model,mae_transfer,mae_trong_moi_truong,chi_phi
E1,E2,N1,khong,12,xgb,0.4627360434897435,0.7063360412835058,0.6551216651055934
E1,E3,N1,khong,12,xgb,6.381189161491341,5.918265611187303,1.0782194616998895
E1,E2,N2,khong,1,rf,0.4440831435453422,0.3911268968668533,1.1353940296683716
E1,E3,N2,khong,1,rf,4.249099700449062,4.133127491687575,1.0280591898011195
E1,E2,N2,khong,1,svr,0.3651100153278899,0.3642830456218155,1.0022701295490235
E1,E3,N2,khong,1,svr,4.078983533056594,4.1659407299127,0.9791266360964457
E1,E2,N2,khong,1,xgb,0.4392080795290202,0.4105843619443219,1.0697145830132222
E1,E3,N2,khong,1,xgb,4.155755109892086,4.042282263792604,1.0280714800932822
E1,E2,N2,khong,6,rf,0.4966043429114873,0.5208661353704407,0.9534202920646812
E1,E3,N2,khong,6,rf,6.552409472653146,5.39196177266712,1.2152180873886302
E1,E2,N2,khong,6,svr,0.505296570127719,0.3733452642224112,1.3534297031465787
E1,E3,N2,khong,6,svr,6.632496354848112,5.4493870567820295,1.2171086923608492
E1,E2,N2,khong,6,xgb,0.5208016427940496,0.5464341055229878,0.9530913929605372
E1,E3,N2,khong,6,xgb,6.616451740601163,5.423125989071503,1.220043892385021
E1,E2,N2,khong,12,rf,0.4929119909857967,0.5904490725716234,0.8348086463054015
E1,E3,N2,khong,12,rf,7.166389429652266,5.840017988976799,1.2271176977843274
E1,E2,N2,khong,12,svr,0.4931131646004159,0.3949873973233344,1.2484275902017106
E1,E3,N2,khong,12,svr,7.082402233914062,6.161344447108217,1.1494897411940892
E1,E2,N2,khong,12,xgb,0.5240862422372687,0.7063360412835058,0.7419786215141094
E1,E3,N2,khong,12,xgb,7.181824278294082,5.918265611187303,1.2135015138080778
E2,E1,N0,khong,1,rf,0.4332590151832927,0.384985425513396,1.1253906939607432
E2,E3,N0,khong,1,rf,4.404006024026087,4.133127491687575,1.0655383926296236
E2,E1,N0,khong,1,svr,0.3293368137221724,0.3781031902858683,0.871023631070593
E2,E3,N0,khong,1,svr,4.528692143827279,4.1659407299127,1.0870755100546476
E2,E1,N0,khong,1,xgb,0.4305581104893217,0.3968713356350657,1.0848808463336135
E2,E3,N0,khong,1,xgb,4.535725696881089,4.042282263792604,1.1220705039596914
E2,E1,N0,khong,6,rf,0.6130927110140529,0.5560619104796859,1.1025619620037803
E2,E3,N0,khong,6,rf,5.886984695096296,5.39196177266712,1.0918075726980376
E2,E1,N0,khong,6,svr,0.3730799148998086,0.3960115456093419,0.9420935299392637
E2,E3,N0,khong,6,svr,5.835606933857603,5.4493870567820295,1.0708740034523523
E2,E1,N0,khong,6,xgb,0.58601557461706,0.587649871308433,0.9972189278494451
E2,E3,N0,khong,6,xgb,5.916465902741153,5.423125989071503,1.0909696574750083
E2,E1,N0,khong,12,rf,0.6629827449435644,0.5938777786502205,1.1163622697761268
E2,E3,N0,khong,12,rf,6.643299469425556,5.840017988976799,1.1375477750179834
E2,E1,N0,khong,12,svr,0.3903293002491297,0.4103335782668061,0.951248742298469
E2,E3,N0,khong,12,svr,6.654517810627932,6.161344447108217,1.0800431411931828
E2,E1,N0,khong,12,xgb,0.6311415068681306,0.6390367810168669,0.9876450395606762
E2,E3,N0,khong,12,xgb,6.5999737016560776,5.918265611187303,1.1151871401614928
E2,E1,N1,khong,1,rf,0.3749081147077141,0.384985425513396,0.9738241758314791
E2,E3,N1,khong,1,rf,4.367606785625776,4.133127491687575,1.0567316866972478
E2,E1,N1,khong,1,svr,0.3756827168666709,0.3781031902858683,0.993598378745846
E2,E3,N1,khong,1,svr,4.453780317599379,4.1659407299127,1.0690935388542386
E2,E1,N1,khong,1,xgb,0.3905907733671981,0.3968713356350657,0.9841748151001695
E2,E3,N1,khong,1,xgb,4.364270854765243,4.042282263792604,1.0796551477507508
E2,E1,N1,khong,6,rf,0.4247906442911259,0.5560619104796859,0.7639268870703281
E2,E3,N1,khong,6,rf,5.922433440622243,5.39196177266712,1.0983819415493978
E2,E1,N1,khong,6,svr,0.4290043593929269,0.3960115456093419,1.0833127572904955
E2,E3,N1,khong,6,svr,5.997358682587979,5.4493870567820295,1.100556561700636
E2,E1,N1,khong,6,xgb,0.4369978071909277,0.587649871308433,0.7436363530854339
E2,E3,N1,khong,6,xgb,5.893967315798347,5.423125989071503,1.0868210194038768
E2,E1,N1,khong,12,rf,0.4537520787171548,0.5938777786502205,0.7640495991421893
E2,E3,N1,khong,12,rf,6.570943473871968,5.840017988976799,1.125158087915964
E2,E1,N1,khong,12,svr,0.4202368280323026,0.4103335782668061,1.0241346316509765
E2,E3,N1,khong,12,svr,6.667878656989756,6.161344447108217,1.0822116364747758
E2,E1,N1,khong,12,xgb,0.4748681573501228,0.6390367810168669,0.7430998832250142
E2,E3,N1,khong,12,xgb,6.547366932038568,5.918265611187303,1.106298257324253
E2,E1,N2,khong,1,rf,0.4276593375833895,0.384985425513396,1.1108455261990395
E2,E3,N2,khong,1,rf,4.215329474073972,4.133127491687575,1.0198885668423534
E2,E1,N2,khong,1,svr,0.3466644103920078,0.3781031902858683,0.9168513233911332
E2,E3,N2,khong,1,svr,4.164109118745715,4.1659407299127,0.9995603367196674
E2,E1,N2,khong,1,xgb,0.4301796282726265,0.3968713356350657,1.0839271815493088
E2,E3,N2,khong,1,xgb,4.129100735327558,4.042282263792604,1.0214775876273168
E2,E1,N2,khong,6,rf,0.508819957781523,0.5560619104796859,0.9150419192398744
E2,E3,N2,khong,6,rf,6.530494381788173,5.39196177266712,1.211153687122281
E2,E1,N2,khong,6,svr,0.5300085668013766,0.3960115456093419,1.338366450871663
E2,E3,N2,khong,6,svr,6.516391765962214,5.4493870567820295,1.1958027018565776
